episode,score,avg_score
106,-55.81441462177502,-150.37660743391044
107,-66.63726865818387,-149.1581000520762
108,-218.6606737502999,-146.4625341235851
109,-57.681083333807976,-144.81509212190574
110,-269.70564539660313,-144.8787984221109
111,-119.5590743744672,-140.98787084032475
112,-108.69050251370805,-141.0548988409432
113,-96.2043887502728,-141.1580334983432
114,-172.76314438850778,-141.3549495935598
115,-42.84443472664343,-139.2256266977223
116,-88.76054330189493,-137.77953346210904
117,-77.51451789653706,-138.85476001918377
118,-181.85627653057895,-140.07408514198806
119,-266.03284420617285,-140.65923578905313
120,-228.47843005448752,-140.6521767044522
121,-76.72353042079763,-138.32466699591646
122,-143.97152501221257,-138.5755125759167
123,-65.59402660013808,-138.25946699564503
124,-80.3044433500309,-138.20842580565585
125,-117.474349577287,-138.48267086836316
126,-99.51356990863567,-138.493731901331
127,-40.70774136560753,-135.95915398790504
128,-119.16361230654115,-136.26899264559918
129,-131.8593799203128,-136.4781855367136
130,-144.91011729321124,-137.0299861171988
131,-99.09529361686258,-134.19284544156523
132,-88.3222886100738,-133.97257197214583
133,-140.28672199848887,-134.26425851682603
134,-211.88528709502003,-135.83023431125284
135,-83.89866288397872,-133.67588533473784
136,-295.7183378139006,-134.4814544997501
137,-261.40321938348353,-136.53456438476545
138,-125.96033154882736,-136.85662484326633
139,-226.35783117731012,-137.69949153434993
140,-100.92416750381773,-137.379443534279
141,-125.7316022696343,-136.23246857365766
142,-233.74946649565365,-136.71366567787481
143,-87.97813235047701,-136.36970781479982
144,-127.2463672896503,-136.42717492765655
145,-66.3758296747585,-134.26096759004395
146,-86.45370776039908,-131.55589753200212
147,-123.99902716311145,-131.32214095234542
148,-153.34467165433608,-131.43217091468048
149,-117.55038145053892,-131.65084655724036
150,-84.82680795419813,-131.48116263124447
151,-121.86349234553398,-129.42972455797218
152,-97.52455331578768,-128.77038631246876
153,-196.88965474513077,-130.15808937057113
154,-112.99238137912725,-130.00810409504658
155,-121.8925391483164,-129.06495452131026
156,-163.60636631920966,-129.0680147919151
157,-73.53640043590528,-128.02539822609165
158,-104.35946284702015,-127.75423918545206
159,-40.0122799917969,-126.93039250860957
160,-91.75437582379078,-127.03073656135861
161,-158.181534473875,-128.03181166398116
162,-82.98118263220707,-127.58741915280041
163,-82.57551108140123,-127.57665399910435
164,-140.77521535187412,-127.80334565690208
165,-59.58517907671884,-127.80700038147288
166,39.583564565747025,-126.45442935048976
167,-136.36573602382776,-125.38207271983156
168,-152.68031423652926,-125.70810776371219
169,-113.12560404278787,-125.36299867123451
170,-25.20647845894014,-124.50808665356344
171,-108.66561263036368,-124.993537758522
172,-63.6722808357927,-124.61996567155761
173,-187.23170009757627,-125.2822325789874
174,-102.19951425376266,-125.32784757712344
175,-87.56238612615259,-125.02110247477381
176,-179.77991368454838,-125.71419355883721
177,-80.52081079134027,-125.10465478878686
178,-94.8391007655164,-124.14294742845746
179,-56.12774769483062,-124.3406061409719
180,-119.84277626527329,-124.2399331642507
181,-154.43983379655384,-124.91071691447749
182,-103.30481798274988,-125.7330787292127
183,-179.60051464763637,-125.2472691743864
184,-48.993886004571735,-124.12964320801116
185,-1.918551261097008,-122.95351881112127
186,-98.05417164689098,-120.33821062110734
187,-78.83175323399203,-120.57252411175665
188,-111.11320913511624,-119.41509361450713
189,-84.72670691258406,-119.28373485318335
190,-83.2425975831819,-119.71029538535483
191,-134.47803776445525,-119.89154927970516
192,-92.42367048324132,-119.12448539275368
193,-50.76098719962557,-118.44085724636278
194,-124.59527140907346,-119.08855014614257
195,-93.3344527067268,-119.12910955622165
196,-122.35544016788026,-118.94305874994184
197,-90.64695460755246,-118.63560078553114
198,-80.48930991779311,-116.4199309670701
199,-95.51591054606924,-115.42773151932022
200,-77.79437376860116,-115.00076820996675
201,-102.38141265818867,-114.49325475609525
202,-91.45322169680772,-115.73026176581484
203,-204.10385161714504,-116.71052950279584
204,-67.6695112810626,-116.11154953061693
205,-125.76213539418761,-115.2729079768521
206,-252.45920066801494,-117.23935583731449
207,-185.05927704577059,-118.42357592119035
208,-112.76391555747078,-117.36460833926205
209,-35.15359604301658,-117.13933346635415
210,-46.472714519811916,-114.90700415758626
211,-60.74188144998166,-114.31883222834139
212,-102.84822028209489,-114.26040940602526
213,-93.33304080965355,-114.23169592661905
214,-46.03919174616999,-112.96445640019567
215,-66.98672358613734,-113.2058792887906
216,-107.6465637320489,-113.39473949309216
217,-115.55223197818664,-113.77511663390864
218,-124.28853226157791,-113.19943919121866
219,-117.4148841305869,-111.7132595904628
220,-92.46195150574047,-110.35309480497531
221,-67.21143372733329,-110.25797383804067
222,-106.01571574885686,-109.87841574540711
223,-122.95342628395225,-110.45200974224527
224,-115.62224604309074,-110.80518776917584
225,-39.47829625485125,-110.02522723595149
226,-90.76538326028003,-109.93774536946792
227,-84.50321934867517,-110.37570014929862
228,-47.90996032803402,-109.66316362951353
229,-66.67690544464992,-109.01133888475691
230,-159.79873085718452,-109.16022502039667
231,-62.840460408856465,-108.7976766883166
232,-120.5406428938684,-109.11986023115456
233,-123.07794756187944,-108.94777248678845
234,-106.94431591234614,-107.89836277496171
235,-99.73255799418057,-108.05670172606374
236,-145.90269838389412,-106.5585453317637
237,-63.10332160682714,-104.57554635399708
238,-67.2391263084707,-103.98833430159353
239,-80.65393443910705,-102.5312953342115
240,-51.17094498046965,-102.03376310897802
241,-7.3383845593165375,-100.84983093187482
242,-106.82465120231512,-99.58058277894146
243,-95.70769623682664,-99.65787841780494
244,-67.32585408176355,-99.05867328572609
245,-72.22494885268962,-99.1171644775054
246,-101.38406714171981,-99.26646807131863
247,-80.0370001569226,-98.82684780125673
248,-106.31053087825971,-98.35650639349596
249,-200.43078589986328,-99.18531043798919
250,-79.7660487445178,-99.1347028458924
251,-134.2182108303281,-99.25825003074033
252,-31.242254001889563,-98.59542703760135
253,-99.38949468354869,-97.62042543698551
254,-53.63220742853245,-97.02682369747957
255,-50.867463455801484,-96.31657294055444
256,-370.3886327517488,-98.38439560487981
257,-57.68110263851666,-98.22584262690594
258,-108.8896864363823,-98.27114486279956
259,-82.03686001328077,-98.6913906630144
260,-56.68901918962422,-98.34073709667271
261,-106.15612058113582,-97.82048295774534
262,-79.04598050385482,-97.7811309364618
263,-85.6709468332211,-97.81208529398002
264,-69.6394444466771,-97.10072758492807
265,-58.91532454524444,-97.09402903961332
266,-76.71373085933075,-98.2570019938641
267,-52.47183239277175,-97.41806295755352
268,-10.60558172894828,-95.99731563247774
269,-88.56335677701692,-95.75169315982
270,-14.637876298388846,-95.6460071382145
271,-85.96439097083555,-95.41899492161922
272,-96.54498075191587,-95.74772192078044
273,-105.36397753748295,-94.92904469517951
274,-94.64324560082002,-94.8534820086501
275,-13.908233499216223,-94.11694048238074
276,-28.243819690970497,-92.60157954244494
277,-89.25797296297279,-92.68895116416127
278,-66.13151814957922,-92.4018753380019
279,-80.80659576671125,-92.64866381872069
280,-113.50048439865398,-92.5852409000545
281,-50.85615034031686,-91.54940406549214
282,-72.26712018402105,-91.23902708750484
283,-85.54566110587179,-90.2984785520872
284,-170.9663519057551,-91.51820321109905
285,-223.2109573906659,-93.73112727239473
286,-180.66323326064466,-94.55721788853226
287,-93.83541164527597,-94.70725447264509
288,-111.86222007967602,-94.7147445820907
289,-119.01344099382398,-95.05761192290309
290,-90.34790946956937,-95.12866504176696
291,-196.43056043671976,-95.74819026848962
292,-190.0818182751995,-96.72477174640919
293,-47.22092257344016,-96.68937110014734
294,-38.87137195133445,-95.83213210556997
295,-351.76043731397556,-98.41639195164244
296,-80.84703047702752,-98.00130785473391
297,-85.19389274103604,-97.94677723606874
298,-63.201164254095964,-97.77389577943177
299,-34.35965146541152,-97.1623331886252
300,-106.1226878253614,-97.44561632919282
301,-111.17119988625305,-97.53351420147347
302,-132.12331492012999,-97.94021513370667
303,-96.05499515356509,-96.8597265690709
304,-82.78340675286682,-97.01086552378894
305,-62.5591372706629,-96.37883554255367
