episode,score,avg_score
412,-45.58422712022489,-70.89926261143376
413,-57.358532252501156,-70.1002174193025
414,-37.36378652225359,-69.83939781514795
415,-13.630588236730532,-69.36522208330608
416,-115.07047604353866,-69.78274954706264
417,-81.19646260659236,-69.62924941060582
418,8.209168100834859,-68.7896949355334
419,-58.19654131983073,-68.46271843225978
420,-65.61728811518832,-68.1116090172535
421,-11.425923029377671,-68.04096928765463
422,-62.611250863916254,-67.96567962277
423,-31.018063584740418,-67.72379041771516
424,-53.43749128250241,-68.50422689162629
425,-181.81164815641253,-69.50784015143915
426,-19.270417157957326,-68.93197852906687
427,-65.94984856463618,-68.95953542533026
428,-53.45938979529964,-68.59378121368626
429,-48.821523147118434,-68.75811357601845
430,-46.76677867587722,-68.33444554629703
431,-103.84788624944815,-69.09893951398928
432,-39.76789356484848,-68.69709381085394
433,-50.0449644355825,-68.48949157576988
434,-35.55515789332006,-68.29632276021353
435,-78.37222549138446,-68.24089359210033
436,-97.4424501420032,-68.89620185248481
437,-114.59993983135904,-69.38304148685154
438,-56.49891918372047,-69.30599857530777
439,-43.126443742709995,-69.13933788694565
440,-20.127118259834845,-68.93476736331917
441,-75.44867931847702,-68.29771090214915
442,-78.89918585939017,-68.22900892903859
443,-82.56067513619747,-68.45546758372438
444,-61.65404624979804,-68.46026798713464
445,-83.24260806350127,-68.9305389511881
446,-76.32350114190282,-68.84299085856149
447,-167.78743525980713,-69.40842877635676
448,-127.01604496874214,-70.32307445193904
449,-38.72004398568127,-69.48408931797842
450,-225.2371567631659,-71.16841667775837
451,-54.29724614726347,-71.09394624737753
452,-14.044028848739813,-69.98974426891998
453,-123.42524797457304,-70.30953622410483
454,-58.85297886688646,-70.11003549479796
455,-118.02812739590021,-70.33538048864732
456,-69.41300556308342,-70.24796350032854
457,-175.9020203229382,-71.11991876167555
458,-9.949033014789634,-70.47102484459916
459,-90.25819087077916,-71.15447086162447
460,-76.73492796648105,-70.42043065113371
461,-59.26631199147639,-70.54920872246628
462,-268.4004729282756,-72.68234104989018
463,-74.23489407237338,-72.834365495875
464,-21.664682773659337,-72.14926106873861
465,-56.775422104566005,-72.36883707024373
466,-87.36082835989107,-72.59636224714433
467,-74.83408959819266,-72.72964444885045
468,-76.98704619147586,-73.01416939300255
469,-107.61666999443409,-73.02593560149609
470,-51.15311417135898,-73.0021153849824
471,-12.590435480845727,-72.4884238154326
472,-50.15587271383349,-71.79947248995376
473,-95.60390901030951,-72.20189069788272
474,-78.53239731505477,-72.76330925760276
475,-27.591492383244997,-72.77311587515774
476,-113.09213813522207,-73.56681037985832
477,-29.270276049955314,-73.56027778427718
478,-78.37694469759421,-73.71799588281726
479,-79.1770331314573,-74.07123511374787
480,-91.31506887883333,-73.82045424303685
481,-90.48639725373197,-74.30355551167632
482,-55.619057998133414,-73.70392498472988
483,-107.47777327524298,-74.87543091362164
484,-38.08022413603584,-74.99645042644163
485,-75.30576807980472,-74.4948007263805
486,-79.93590316196989,-73.73353049842882
487,-76.52604275201018,-73.63701578480567
488,-101.5088606163035,-74.0459069377859
489,-52.18906026840107,-73.20601261467293
490,-29.777333827766512,-73.16838619259835
491,-74.58703772193041,-73.36835866996884
492,-60.893764154588894,-73.36879837440905
493,-96.6852636829619,-73.04477175644513
494,-81.14099014050358,-73.13246048226046
495,-46.39835138846048,-72.9892769128505
496,-107.78055001159908,-73.6126453513654
497,-60.209430826431976,-73.67121863935944
498,-98.60168638213982,-74.18138523719625
499,-69.40686943296488,-74.81098504697991
500,-44.225409955288214,-74.61623691251413
501,-52.383516483917106,-74.27191253452457
502,-45.72589526923415,-74.47651555940331
503,-17.178069518249842,-73.8270046453447
504,-99.49566243731563,-74.01455569678404
505,-64.63092571060855,-73.72921764938383
506,-57.2830129063784,-73.388277843741
507,-100.23150934341892,-73.67774297116786
508,-34.18489217113867,-73.26584077805369
509,-43.65800309113399,-72.92773683587144
510,-70.47253934038442,-72.53419322776885
511,-95.59628615879907,-71.49233438365073
512,-43.6282552521491,-71.47277466496996
513,-59.57833517006954,-71.49497269414566
514,-67.3928239181773,-71.7952630681049
515,-66.39924406946383,-72.32294962643223
516,-141.2084608204703,-72.58432947420155
517,-9.43600615718313,-71.86672490970746
518,-2.453504464535385,-71.97335163536117
519,-93.6699459313524,-72.32808568147638
520,-88.22083304859217,-72.55412113081043
521,-56.37866729957085,-73.00364857351235
522,-62.18002479125107,-72.99933631278569
523,-96.9906760608249,-73.65906243754654
524,-40.524511420326334,-73.52993263892478
525,32.994004382136325,-71.3818761135393
526,-48.57022725837699,-71.6748742145435
527,-11.446276160164004,-71.12983849049878
528,-40.36701707185049,-70.99891476326428
529,-53.107001694072984,-71.04176954873384
530,-75.92465089710814,-71.33334827094615
531,15.28360596695211,-70.14203334878214
532,-52.257601279043826,-70.26693042592409
533,7.3185563137034535,-69.69329521843125
534,-62.63531955234679,-69.96409683502151
535,-67.49076446045396,-69.8552822247122
536,-27.43000007904297,-69.15515772408258
537,-93.82603192866547,-68.94741864505565
538,-42.83401960090669,-68.81076964922751
539,-24.192406634092833,-68.62142927814133
540,-92.99017965004491,-69.35005989204345
541,-43.431989436843956,-69.02989299322711
542,-51.61962975403941,-68.75709743217361
543,-222.86113815832198,-70.16010206239486
544,-72.96278390930303,-70.2731894389899
545,-47.22561165101287,-69.91301947486501
546,-72.16250332151931,-69.87140949666119
547,-34.70512488113991,-68.5405863928745
548,-66.76561727080377,-67.93808211589513
549,-0.3253135336925368,-67.55413481137525
550,-17.85556517284725,-65.48031889547205
551,-68.29936292816045,-65.62034006328103
552,-19.2298111643219,-65.67219788643685
553,-52.1915351364148,-64.95986075805527
554,-26.57021755984806,-64.63703314498488
555,-37.00528065566694,-63.82680467758255
556,-60.821921468846874,-63.74089383664018
557,-45.31272172302917,-62.43500085064109
558,-51.042937967256414,-62.84593990016576
559,-34.96153403184519,-62.29297333177641
560,-74.16490738689446,-62.267273125980545
561,-27.46600300588561,-61.94927003612464
562,-4.8739808061241945,-59.31400511490314
563,-23.912068582071484,-58.81077686000012
564,-104.78542730116811,-59.64198430527521
565,-32.80599311086907,-59.40229001533823
566,-26.280854209177974,-58.7914902738311
567,-41.55010319061911,-58.45865040975536
568,-93.18979516464586,-58.62067789948706
569,-28.85061690951686,-57.83301736863788
570,-70.53703635455035,-58.02685659046981
571,-41.070859941046535,-58.31166083507182
572,-72.63335210060004,-58.53643562893948
573,-52.67234000965362,-58.10711993893291
574,-23.064274978872177,-57.55243871557108
575,-74.48019390290798,-58.021325730767714
576,-88.51405664348954,-57.77554491585039
577,-98.73048197760117,-58.470146975126845
578,-86.82879561737067,-58.554665484324616
579,-58.01094996940111,-58.343004652704046
580,-98.40336825644208,-58.41388764648014
581,-53.44596644144028,-58.04348333835722
582,-24.054671094230216,-57.727839469318184
583,-42.92392602241199,-57.08230099678988
584,-17.081778552317232,-56.87231654095269
585,-78.22283941218096,-56.90148725427646
586,-151.93811143462827,-57.62150933700303
587,-55.288823041312455,-57.40913713989605
588,-54.493951029181524,-56.93898804402485
589,-189.5225604319839,-58.312323045660676
590,-112.33702759359932,-59.13791998331901
591,-19.786834346147344,-58.589917949561176
592,-12.98125931889598,-58.11079290120425
593,-46.4919596298965,-57.608859860673604
594,-66.19423194493989,-57.45939227871797
595,6.730354892512622,-56.928105215908225
596,-65.68913646214165,-56.50719108041364
597,-71.07661848321862,-56.61586295698151
598,24.156927423757395,-55.38827681892254
599,-34.601864972369384,-55.04022677431659
600,-83.39951983485636,-55.431967873112264
601,13.260446530102769,-54.77552824297208
602,-68.83734125978347,-55.00664270287757
603,-93.62958840450655,-55.77115789174014
604,4.472065107157633,-54.7314806162954
605,10.606669197184772,-53.97910466721747
606,-69.56206502924287,-54.101895188446115
607,-0.9788333902195785,-53.109368428914124
608,-76.29060287930693,-53.5304255359958
609,-214.20207015881945,-55.23586620667266
610,-70.03257237674299,-55.23146653703624
611,-80.45409141594254,-55.08004458960768
612,-28.104952671919378,-54.92481156380538
613,-58.28848788797586,-54.91191309098444
614,-69.0665995257815,-54.92865084706049
615,40.346736001065395,-53.861191046355195
616,-84.32775823961421,-53.29238402054662
617,-81.40771351100429,-54.01210109408484
618,-7.480887987730114,-54.062374929316796
619,-46.936597345591565,-53.59504144345919
620,-91.55859259897886,-53.628419038963045
621,-21.807945912629677,-53.28271182509363
622,-74.1364822544183,-53.40227639972531
623,-52.96431936217925,-52.96201283273885
624,-88.61354777638445,-53.44290319629943
625,-34.317295258310594,-54.11601619270391
626,-28.768397958666057,-53.917997899706805
627,-31.43616247797543,-54.11789676288492
628,15.78048587984118,-53.556421733368005
629,-196.99846828663823,-54.995336399293656
